RefDes,Name,Pattern,Origin X (mil),Origin Y (mil),Center X (mil),Center Y (mil),Side,Rotate,Value
C1,CAP_0805,CAP_0805,1073.7,2393.7,1073.7,2393.7,Top,90,10uf
C2,CAP_0805,CAP_0805,3393.7,1307.3,3393.7,1307.3,Top,270,10uf
C3,CAP_0805,CAP_0805,3486.7,1710.1,3486.7,1710.1,Top,90,0.1uf
C4,CAP_0805,CAP_0805,513.1,750.7,513.1,750.7,Top,0,10uf
C5,CAP_0805,CAP_0805,933.7,1998.7,933.7,1998.7,Top,180,10uf
C6,CAP_0805,CAP_0805,3435.1,863.7,3435.1,863.7,Top,0,10uf
C7,CAP_0805,CAP_0805,3148.7,1872.3,3148.7,1872.3,Top,270,0.1uf
C8,CAP_0805,CAP_0805,3601.7,1711.1,3601.7,1711.1,Top,90,4.7uf
C9,CAP_0805,CAP_0805,3136.1,1717.7,3136.1,1717.7,Top,0,4.7uf
C10,CBP-SV-C,SV-C,3560.2,1891.7,3560.2,1891.7,Top,0,100uf 6.3v
C11,CAP_0805,CAP_0805,1426.1,2225.7,1426.1,2225.7,Top,0,0.1uf
D1,DIODE-ZENER-MM3Z3V3T1G (DIODE-ZENER),SOD-323,3018.7,1327.7,3018.7,1327.7,Top,180,3.3V
D5,DIODE_1206,SOD-123,2425.7,2169.77,2425.7,2169.77,Top,270,
I2C,QWIIC_CONNECTORJS-1MM,JST04_1MM_RA,2373.7,628.7,2373.7,549.96,Top,0,QWIIC_RIGHT_ANGLE
I2C2,QWIIC_CONNECTORJS-1MM,JST04_1MM_RA,2843.7,2323.7,2843.7,2402.44,Top,180,QWIIC_RIGHT_ANGLE
J3,292303-1,292303-1,3293.7,2143.7,3293.7,2303.15,Top,180,
J7,DM3D-SF,DM3D,2801.77,689.42,2801.77,689.42,Top,0,
MicroMod,MICROMOD-2222-C-T,M.2-CONNECTOR-E,1242.57,1203.47,1183.52,1203.47,Top,270,
MMS,STAND-OFF-REFLOW2.5MM_TALL,STAND-OFF-REFLOW-M2.5,2028.4,1044.22,2028.4,1044.22,Top,90,
ON/OFF,TL3330,TL3330,3873.7,2043.7,3842.2,2043.7,Top,90,
PGM,TL3330,TL3330,682.2,437.7,682.2,469.2,Top,0,
PWR,LEDCHIPLED_0805,CHIPLED_0805,668.7,803.7,668.7,803.7,Top,90,Red
Q1,MMBT4401LT1G,SOT23-3P95_240X110L43X44N,2599.3,2087.95,2599.3,2087.95,Top,180,
R1,RES_0805,RES_0805,643.7,2093.7,643.7,2093.7,Top,90,120
R2,RES_0805,RES_0805,3072.7,1467.1,3072.7,1467.1,Top,90,40K
R3,RES_0805,RES_0805,2600.3,2224.7,2600.3,2224.7,Top,0,120
R4,RES_0805,RES_0805,813.3,834.7,813.3,834.7,Top,90,1K
R5,RES_0805,RES_0805,1737.7,2045.1,1737.7,2045.1,Top,90,10K
R6,RES_0805,RES_0805,3243.7,953.7,3243.7,953.7,Top,180,10K
R12,RES_0805,RES_0805,3243.7,863.7,3243.7,863.7,Top,0,40K
U1,AP7361C-33SP-13,SOIC-8EP/150mil,3377,1502.7,3377,1502.7,Top,0,
U3,74HC1G125GV,SOT23-5,1310.85,2047.3,1310.85,2047.3,Top,0,74HC1G125GV
U5,74LVC1G126GV,SOT23-5,1496.3,2066.55,1496.3,2066.55,Top,270,74LVC1G126GV
U7,TPS055A,SOIC-8/150mil,3302.7,1826.7,3302.7,1826.7,Top,90,
USB,47589-0001,MOLEX_47589-0001,3813.7,1543.7,3791.55,1543.7,Top,90,
