Designator ,Footprint,Origin X (mm),Origin Y (mm),Center X (mm),Center Y (mm),Side,Rotate,Value
C1,805,16.767,57.193,16.767,57.193,Top,0,
C2,805,88.298,34.587,88.298,34.587,Top,180,
C4,805,13.033,19.068,13.033,19.068,Top,0,
C5,805,19.525,53.18,19.525,53.18,Top,90,
C6,805,76.177,19.423,76.177,19.423,Top,0,
C8,805,91.102,45.824,91.102,45.824,Top,90,
C9,805,82.923,45.773,82.923,45.773,Top,90,
D1,SOD-323,76.185,41.394,76.185,41.394,Top,180,
D5,SOD-123,66.49,49.343,66.49,49.343,Top,90,
I2C,JST04_1MM_RA,59.53,15.715,59.53,13.715,Top,0,
I2C1,JST04_1MM_RA,36.74,58.852,36.74,60.852,Top,180,
I2C2,JST04_1MM_RA,71.411,58.979,71.411,60.979,Top,180,
J1,BH501,62.121,44.188,62.121,41.223,Top,270,
J2,TB-1x2/5/11x7.5/Sc_H,80.485,26.891,80.035,26.891,Top,90,
J3,292303-1,83.36,54.858,83.36,58.908,Top,180,
J7,DM3D,91.832,25.875,91.832,25.875,Top,90,
LS1,CUI_CST-931RP-A,72.281,49.008,72.281,48.258,Top,90,
MicroMod,M.2-CONNECTOR-E,31.561,30.568,30.061,30.568,Top,270,
MMS,STAND-OFF-REFLOW-M2.5,51.521,26.523,51.521,26.523,Top,90,
ON/OFF,TL3330,97.63,53.18,96.83,53.18,Top,90,
PGM,TL3330,21.036,11.118,21.036,11.918,Top,0,
PS1,CONV_R-78E5.0-1.0,70.96,26.51,70.96,26.46,Top,90,
PWR,805,16.985,20.414,16.985,20.414,Top,90,
Q1,SOT23-3P95_240X110L43X44N,65.188,53.983,65.188,53.983,Top,270,
Q2,SOT23-3,60.8,22.954,60.8,22.904,Top,180,
Q3,SOT23-3,63.162,26.51,63.162,26.46,Top,180,
R1,805,16.35,53.18,16.35,53.18,Top,90,
R2,805,80.968,38.661,80.968,38.661,Top,90,
R3,805,61.323,54.247,61.323,54.247,Top,180,
R4,805,20.658,20.363,20.658,20.363,Top,90,
R6,805,79.901,18.55,79.901,18.55,Top,270,
R12,805,82.263,18.55,82.263,18.55,Top,90,
R14,805,57.879,21.43,57.879,21.43,Top,90,
R15,805,59.53,29.888,59.53,29.888,Top,0,
R16,805,55.593,21.43,55.593,21.43,Top,90,
R17,805,62.984,29.863,62.984,29.863,Top,180,
U1,SOT89-5,87.47,38.575,87.47,38.575,Top,90,
U7,SOIC-8/150mil,86.835,46.83,86.835,46.83,Top,90,
USB,MOLEX_47589-0001,96.868,39.21,96.305,39.21,Top,90,
