"RefDes";"Name";"Pattern";"Value";"Number of Pins";"Quantity"
"C1, C2";"CAP_1210";"CAP_1210";"10uf";"2";"2"
"C3";"CBP-SV-C";"SV-C";"33uf 25v";"2";"1"
"C4, C7, C8";"CBP-SV-C";"SV-C";"47uf 25v";"2";"3"
"C5, C6";"CAP_0805";"CAP_0805";"1uf";"2";"2"
"C9";"CAP_0805";"CAP_0805";"10uf";"2";"1"
"C10";"CAP_0805";"CAP_0805";".1uf";"2";"1"
"DACS, J5, JTFT5, VOUT-P";"HDR-1x2";"HDR-1x2";"";"2";"4"
"J1";"POWER_JACKPTH";"POWER_JACK_PTH";"";"3";"1"
"J2";"2x4 Connector";"HDR-2x4";"";"8";"1"
"J3";"HDR-1x13";"HDR-1x13";"";"13";"1"
"J4";"HDR-1x11";"HDR-1x11";"";"11";"1"
"J9, J10";"1x5 Connector";"HDR-1x5";"";"5";"2"
"J-VBAT1";"1066";"1066";"";"2";"1"
"J_I2C_SEL";"HDR-2x3";"HDR-2x3";"";"6";"1"
"J_SPI_SEL";"HDR-2x6";"HDR-2x6";"";"12";"1"
"JDISP-JP1";"HDR-2x20";"HDR-2x20";"";"40";"1"
"JDISP-JP2";"HDR-2x4";"HDR-2x4";"";"8";"1"
"JQW, JQW1";"I2C_STANDARDQWIIC";"JST04_1MM_RA";"Qwiic Right Angle";"4";"2"
"JUSB";"1x2 Connector";"1X02_NO_SILK";"";"2";"1"
"L31, L32";"LEDCHIPLED_0805";"CHIPLED_0805";"Yellow";"2";"2"
"ON-RST, PGM";"TL3330";"TL3330";"";"2";"2"
"P-A14, P-P15";"POT-RV16AF-20";"POT_ALPHA_RV16AF-20";"";"3";"2"
"P3.3/GND, P5V/GND";"2x6 Connector";"HDR-2x6";"";"12";"2"
"P3.3/GND1";"2x5 Connector";"HDR-2x5";"";"10";"1"
"P5V/GND1";"2x7 Connector";"HDR-2x7";"";"14";"1"
"PU16, PU17, PU18, PU19";"RES_0805";"RES_0805";"NC";"2";"4"
"PWR";"SWITCH-SPDTPTH";"SWITCH-SPDT";"";"3";"1"
"Q1, Q2";"SN74LV1T125";"SOT23-5";"";"5";"2"
"R1, R2";"RES_0805";"RES_0805";"";"2";"2"
"R3, R18";"RES_0805";"RES_0805";"1K";"2";"2"
"R4, R8";"3352T";"3352T";"";"3";"2"
"R5, R6";"RES_0805";"RES_0805";"470";"2";"2"
"R7";"RES_0805";"RES_0805";"10";"2";"1"
"SJ-MISOB, SJU-P+, SJU-P-";"JUMPER-2SMD-NO";"SJ_2S-NO";"";"2";"3"
"sjbck, sjdin, sjws";"JUMPER-3SMD";"SJ_3";"";"3";"3"
"SPKR1, SPKR2";"AST-01508MR-R";"AST-01508";"";"2";"2"
"Tx-SHLD";"T3/4 Breadboard";"T3/4 Breadboard";"";"28";"1"
"U1";"74AHC1G125GV";"SOT23-5";"";"5";"1"
"U2";"PT8211";"SOIC-8/150mil";"";"8";"1"
"U3";"T4-T346-FRDM-T4PUSB";"T4-T346-FRDM-T4PUSB";"";"59";"1"
"U4";"Adafruit TPA2016(1712)";"ADAFruit TPA2016(1712)";"";"14";"1"
"U5, U6";"DAC_MCP4725SOT";"SOT23-6";"";"6";"2"
"U7";"TPS055A";"SOIC-8/150mil";"";"8";"1"
"USB1";"292303-1";"292303-1";"";"5";"1"
"";"";"";"";"332";"71"
