"RefDes";"Name";"Pattern";"Value";"Number of Pins";"Quantity"
"C1, C3, C6, C7, C8";"CAP_0805";"CAP_0805";"1uf";"2";"5"
"C2";"CAP_0805";"CAP_0805";"0.1uf";"2";"1"
"C4";"CAP_0805";"CAP_0805";"10uf";"2";"1"
"C5";"CAP_0805";"CAP_0805";"10u";"2";"1"
"C9";"CAP_0805";"CAP_0805";"33u";"2";"1"
"CN1P, CN2P";"2x7 Connector";"HDR-2x7";"";"14";"2"
"CN1P1";"2x4 Connector";"HDR-2x4";"";"8";"1"
"CN3P";"2x8 Connector";"HDR-2x8";"";"16";"1"
"CN4P";"2x5 Connector";"HDR-2x5";"";"10";"1"
"CN4P1";"2x6 Connector";"HDR-2x6";"";"12";"1"
"CN4P2";"2x3 Connector";"HDR-2x3";"";"6";"1"
"D5";"DIODE_1206";"SOD-123";"";"2";"1"
"J1";"POWER_JACKPTH";"POWER_JACK_PTH";"";"3";"1"
"J3";"292303-1";"292303-1";"";"5";"1"
"J-DISP";"HDR-1x11";"HDR-1x11";"";"11";"1"
"JAX2, JAX3, JAX4";"WM18887-ND";"BIOLOID-Fix";"";"3";"3"
"JBAT, JIOUN, JUSB";"1x2 Connector";"HDR-1x2";"";"2";"3"
"JIO1";"1x8 Connector";"HDR-1x8";"";"8";"1"
"JIO2";"1x5 Connector";"HDR-1x5";"";"5";"1"
"JIO3";"1x6 Connector";"HDR-1x6";"";"6";"1"
"JIO4, JIO8";"1x7 Connector";"HDR-1x7";"";"7";"2"
"JIO7";"1x4 Connector";"HDR-1x4";"";"4";"1"
"JIO14, VSEL";"1x3 Connector";"HDR-1x3";"";"3";"2"
"JQW, JQW1, JQW2";"I2C_STANDARDQWIIC";"JST04_1MM_RA";"Qwiic Right Angle";"4";"3"
"JSND";"1x1 Connector";"HDR-1x1";"";"1";"1"
"JVIN, U7";"2x2 Connector";"HDR-2x2";"";"4";"2"
"L31, L32";"LEDCHIPLED_0805";"CHIPLED_0805";"Yellow";"2";"2"
"LY1, LY2";"LSS Servo";"BIOLOID4";"";"4";"2"
"PWR";"LEDCHIPLED_0805";"CHIPLED_0805";"Green";"2";"1"
"Q1";"T2222";"SOT-23";"MMBT6428";"3";"1"
"Q2, Q3";"MOSFET-NCHANNELBSS138";"SOT23-3";"";"3";"2"
"R1";"RES_0805";"RES_0805";"40K";"2";"1"
"R2, R3, R9, R14, R15, R16";"RES_0805";"RES_0805";"10K";"2";"6"
"R4";"RES_0805";"RES_0805";"50";"2";"1"
"R5, R7, R13, R18";"RES_0805";"RES_0805";"1K";"2";"4"
"R6, R8";"RES_0805";"RES_0805";"4.7K";"2";"2"
"R10";"RES_0805";"RES_0805";"560";"2";"1"
"R11";"RES_0805";"RES_0805";"47";"2";"1"
"R12";"RES_0805";"RES_0805";"330";"2";"1"
"SJ3-3T";"JUMPER-2SMD-NO";"SJ_2S-NO";"";"2";"1"
"SPKR";"SPEAKER";"SPKR KC-1206";"";"2";"1"
"U3";"Pololu D24V22Fx DC/DC Converter";"Pololu D24V22F DC DC Converter";"";"5";"1"
"U4";"T4-T346-FRDM-T4PUSB";"T4-T346-FRDM-T4PUSB";"";"59";"1"
"U9";"TC7WT141FU";"MSOP-8";"";"8";"1"
"";"";"";"";"250";"70"
