"RefDes","Name","Pattern","Value","Number of Pins","Quantity"
"Ant, Gnd","HEADER-1X1ROUND","1X01_ROUND","","1","2"
"C1","CAP_0805","CAP_0805","33u","2","1"
"C2","CAP_0805","CAP_0805","10uF","2","1"
"C3, C6","CAP_0805","CAP_0805","1.0uf","2","2"
"C4","CAP_0805","CAP_0805",".1uf","2","1"
"C5","CAP_0805","CAP_0805","10u","2","1"
"C7","CBP-SV-C","SV-C","33uf 25v","2","1"
"C8","CAP_0805","CAP_0805","1uf","2","1"
"JDC","OSTVN06A150","TB-1x6/2.54/16x7/Sc_H","","6","1"
"JDISP","HDR-1x14","HDR-1x14","","14","1"
"NEO","NeoPixel 5mm","NEOPIXEL 5mm - larger holes min silk","","4","1"
"P3.3/GND, P5V/GND","2x3 Connector","HDR-2x3","","6","2"
"PGM, RST","TL3330","TL3330","","2","2"
"PWR","LEDCHIPLED_0805","CHIPLED_0805","MF-LED-0805-GREEN","2","1"
"Q1","MOSFET-NCHANNELBSS138","SOT23-3","","3","1"
"Q2","BC850C","SOT23","","3","1"
"R1, R4, R19","RES_0805","RES_0805","20k","2","3"
"R2, R5, R7","RES_0805","RES_0805","1K","2","3"
"R3","RES_0805","RES_0805","10","2","1"
"R6","RES_0805","RES_0805","10k","2","1"
"R17","RES_0805","RES_0805","470","2","1"
"SHT31","1x7 Connector","SHT31D","","7","1"
"SPKR1","AST-01508MR-R","AST-01508","","2","1"
"U1","RFM69HCW_SMT","RFMHCW_SMT","RFM69HCW","16","1"
"U2, U11","PINHD-1X24","HDR-1x24","","24","2"
"U3","TEENSY3_6 only pins ","T36 Pins Only","","56","1"
"U4","23LC1024","SOIC-8/150mil","","8","1"
"U5","LM3940IS3.3","SOT223-4","","4","1"
"U6","LM4862M","SOIC-8/150mil","","8","1"
"U8","BATTERY12MM","BATTCON_12MM","","0","1"
"X1","SMACONNECTOR_EDGE_UFL","SMA_EDGELAUNCH_UFL","uFL/SMA","5","1"
"","","","","195","40"
