"RefDes";"Name";"Pattern";"Value";"Number of Pins";"Quantity"
"C1, C5";"CAP_0805";"CAP_0805";"10u";"2";"2"
"C2";"CAP_1210";"CAP_1210";"33u";"2";"1"
"C3";"CAP_0805";"CAP_0805";"1.0uf";"2";"1"
"D5";"DIODE_1206";"SOD-123";"";"2";"1"
"J1";"I2C_STANDARDQWIIC";"JST04_1MM_RA";"Qwiic Right Angle";"4";"1"
"J3";"292303-1";"292303-1";"";"5";"1"
"JDISP";"HDR-1x14";"HDR-1x14";"";"14";"1"
"JUSB";"1x2 Connector";"HDR-1x2";"";"2";"1"
"ON/OFF, PGM";"TL3330";"TL3330";"";"2";"2"
"OV7670";"HDR-2x9";"HDR-2x9";"";"18";"1"
"P3.3/GND, P5V/GND";"2x8 Connector";"HDR-2x8";"";"16";"2"
"Q1";"MOSFET-NCHANNELBSS138";"SOT23-3";"";"3";"1"
"Q2";"BC850C";"SOT23";"";"3";"1"
"Q3";"T2222";"SOT-23";"MMBT6428";"3";"1"
"R2, R7";"RES_0805";"RES_0805";"1K";"2";"2"
"R3";"RES_0805";"RES_0805";"10";"2";"1"
"R5";"RES_0805";"RES_0805";"50";"2";"1"
"R11";"RES_0805";"RES_0805";"10K";"2";"1"
"RFM95";"HDR-1x9";"HDR-1x9";"";"9";"1"
"SCL_PU, SDA_PU";"RES_0805";"RES_0805";"10k";"2";"2"
"SPKR";"SPEAKER";"SPKR KC-1206";"";"2";"1"
"U2, U11";"PINHD-1X24";"HDR-1x24";"";"24";"2"
"U3";"T41-USB_VU_VB_ON_PROG";"T41-USB_VU_VB_ON_PG";"";"57";"1"
"U8";"BATTERY12MM";"BATTCON_12MM";"";"2";"1"
"";"";"";"";"230";"30"
