"RefDes";"Name";"Pattern";"Value";"Number of Pins";"Quantity"
"Ant, Gnd";"HEADER-1X1ROUND";"1X01_ROUND";"";"1";"2"
"C1";"CBP-SV-C";"SV-C";"33uf 25v";"2";"1"
"C2";"CAP_0805";"CAP_0805";"10uF";"2";"1"
"C3";"CAP_0805";"CAP_0805";"1.0uf";"2";"1"
"C4";"CAP_0805";"CAP_0805";"10uf 25v";"2";"1"
"C5";"CAP_0805";"CAP_0805";"10u";"2";"1"
"C9";"CAP_0805";"CAP_0805";"10uf";"2";"1"
"J1";"POWER_JACKPTH";"POWER_JACK_PTH";"";"3";"1"
"J2";"1x6 Connector";"HDR-1x6";"";"6";"1"
"J3, J4";"PINHD-1X14-CB";"1X14-CB";"";"14";"2"
"J5";"2x5 Connector";"HDR-2x5";"";"10";"1"
"J6";"1x2 Connector";"1X02_NO_SILK";"";"2";"1"
"J7";"DM3D-SF";"DM3D";"";"11";"1"
"J8";"HFW8R-1STE1LF";"HFW8R-1STE1LF";"";"8";"1"
"J-VBAT";"1074";"1074";"";"3";"1"
"JAX1, JAX2, JAX3";"WM18887-ND";"BIOLOID-Fix";"";"3";"3"
"JDISP";"HDR-1x14";"HDR-1x14";"";"14";"1"
"NEO";"NeoPixel 5mm";"NEOPIXEL 5mm - larger holes min silk";"";"4";"1"
"ON/OFF, PGM";"TL3330";"TL3330";"";"2";"2"
"P3.3/GND, P5V/GND";"2x3 Connector";"HDR-2x3";"";"6";"2"
"PWR";"LEDCHIPLED_0805";"CHIPLED_0805";"MF-LED-0805-GREEN";"2";"1"
"Q1";"MOSFET-NCHANNELBSS138";"SOT23-3";"";"3";"1"
"Q2";"BC850C";"SOT23";"";"3";"1"
"R1, R8, R9, R11, R12";"RES_0805";"RES_0805";"4.7K";"2";"5"
"R2, R5, R7, R13";"RES_0805";"RES_0805";"1K";"2";"4"
"R3";"RES_0805";"RES_0805";"10";"2";"1"
"R4";"RES_0805";"RES_0805";"40K";"2";"1"
"R6";"RES_0805";"RES_0805";"10K";"2";"1"
"R10";"RES_0805";"RES_0805";"560";"2";"1"
"R17";"RES_0805";"RES_0805";"470";"2";"1"
"U1";"RFM69HCW_SMT";"RFMHCW_SMT";"RFM69HCW";"16";"1"
"U3";"Teensy 4 beta";"TEENSY_4.0_ALLPINS";"";"46";"1"
"U4";"Pololu DC/DC Converter";"Pololu DC DC Converter";"";"5";"1"
"U7";"TPS055A";"SOIC-8/150mil";"";"8";"1"
"U9";"TC7WT141FU";"MSOP-8";"";"8";"1"
"USB";"292336-1";"292336-1";"";"5";"1"
"X1";"SMACONNECTOR_EDGE_UFL";"SMA_EDGELAUNCH_UFL";"uFL/SMA";"5";"1"
"";"";"";"";"214";"50"
