RefDes;Name;Pattern;X (mil);Y (mil);Side;Rotate;Value
C1;CAP_0805;CAP_0805;1185.3;911.9;Top;180;.33u
C2;CBP-SV-C;SV-C;539.8;585.3;Top;270;33uf 25v
C3;CAP_0805;CAP_0805;586.1;1136.4;Top;0;0.1uf
C4;CAP_0805;CAP_0805;1475.1;911.7;Top;0;.1uf
C5;CAP_1210;CAP_1210;637.4;1533.3;Top;0;33u
C6;CAP_0805;CAP_0805;1667.1;1087.6;Top;180;1.0uf
C7;CAP_0805;CAP_0805;573.8;880.3;Top;180;0.1uf
C9;CAP_0805;CAP_0805;2771.4;502.8;Top;90;33uf 25v
CN1P;2x6 Connector;HDR-2x6;2024.5;500;Top;180;
CN1S;1x6 Connector;HDR-1x6;2024.5;650;Top;0;
CN2P;2x4 Connector;HDR-2x4;2524.5;500;Top;180;
CN2S;1x4 Connector;HDR-1x4;2524.5;650;Top;0;
CN3P;2x8 Connector;HDR-2x8;2375;1700;Top;0;
D1;BAT60J;SOD-323;2751.8;1092.5;Bottom;0;
D2;BAT60J;SOD-323;815.3;1929.9;Top;90;
GP;2x2 Connector;HDR-2x2;2275;1900;Top;180;
I2C;2x4 Connector;HDR-2x4T/2.54x2.54/10x4.9;1975;1900;Top;180;
J1;POWER_JACKPTH;POWER_JACK_PTH;730;-113;Top;0;CP-102A-ND
J-RPI;PINHD-2X20;2X20;1579.5;2166.9;Top;0;1528-1385-ND
JAX1;WM18887-ND;BIOLOID-Fix;100;1497;Top;0;WM18887-ND
JAX2;WM18887-ND;BIOLOID-Fix;100;1287;Top;0;WM18887-ND
JAX3;WM18887-ND;BIOLOID-Fix;100;1077;Top;0;WM18887-ND
JAX4;WM18887-ND;BIOLOID-Fix;100;867;Top;0;WM18887-ND
JAX5;WM18887-ND;BIOLOID-Fix;100;657;Top;0;WM18887-ND
JAX-PWR;WM18887-ND;BIOLOID-Fix;961.8;597.8;Top;180;WM18887-ND
JD0-7;1x8 Connector;HDR-1x8;2375;1550;Top;180;
JD8-13;1x6 Connector;HDR-1x6;1675;1550;Top;180;
L1;LEDCHIPLED_0805;CHIPLED_0805;1700;200;Top;90;MF-LED-0805-RED
L2;LEDCHIPLED_0805;CHIPLED_0805;2050;200;Top;90;MF-LED-0805-RED
NEO;NeoPixel 5mm;NEOPIXEL 5mm - larger holes min silk;2625.7;1945;Top;180;
PGM;TL3330;TL3330;1075;50;Top;0;
PWR;LEDCHIPLED_0805;CHIPLED_0805;100.8;2147.9;Top;0;MF-LED-0805-GREEN
Q2;SUP75P03-07-E3;TO-220;226.5;455.2;Top;0;SUP75P03-07-E3
Q3;MOSFET-NCHANNELBSS138;SOT23-3;836.1;1090.7;Top;180;BSS138CT-ND
R1;RES_0805;RES_0805;854.2;877.9;Top;180;100K
R2;RES_0805;RES_0805;2425.3;1034.5;Top;270;20K
R3;RES_0805;RES_0805;436.5;1445;Top;270;10K
R4;RES_0805;RES_0805;1668.9;1181.2;Top;180;20k
R5;RES_0805;RES_0805;181.1;2149.5;Top;90;1K
R6;RES_0805;RES_0805;808.6;979.3;Top;0;4.7K
R8;RES_0805;RES_0805;1700;280;Top;180;1K
R9;RES_0805;RES_0805;824.3;1289.1;Top;0;120
R10;RES_0805;RES_0805;1862.8;1715.6;Bottom;270;10k
R11;RES_0805;RES_0805;1737.8;1715.6;Bottom;270;10k
R12;RES_0805;RES_0805;1612.8;1715.6;Bottom;270;10k
R13;RES_0805;RES_0805;826;1205;Top;0;10K
R14;RES_0805;RES_0805;1487.8;1715.6;Bottom;270;10k
R16;RES_0805;RES_0805;2425;1250;Bottom;270;10k
R17;RES_0805;RES_0805;2429.5;1903.3;Top;270;470
R18;RES_0805;RES_0805;2050;280;Top;180;1K
R19;RES_0805;RES_0805;1193.2;1011.7;Top;180;20k
R20;RES_0805;RES_0805;2325;1250;Bottom;270;10k
R21;RES_0805;RES_0805;2025;1000;Bottom;90;10k
R22;RES_0805;RES_0805;2125;1000;Bottom;90;10k
R24;RES_0805;RES_0805;1193.2;1153.1;Top;0;20k
R25;RES_0402;RES_0402;2764.1;983.3;Bottom;0;0
Reset;TL3330;TL3330;2500;50;Top;0;
S1;TL3330;TL3330;1700;50;Top;0;
S2;TL3330;TL3330;2050;50;Top;0;
S4;1x4 Connector;HDR-1x4;1073.6;1667.9;Top;180;
S5;1x4 Connector;HDR-1x4;1070;1565.9;Top;180;
Serial;2x4 Connector;HDR-2x4T/2.54x2.54/10x4.9;1075;1900;Top;180;
SPI;2x5 Connector;HDR-2x5;1525;1900;Top;180;
SPKR1;AST-01508MR-R;AST-01508;1322.5;420.8;Top;0;
U3;74HC1G125GV;SOT23-5;572.8;994;Top;0;74HC1G125GV
U4;Teensy 3.6 Minus;Teensy 3.6 minus;2175;1090;Top;270;
U5;74LVC1G126GV;SOT23-5;566.9;1261.2;Top;180;74LVC1G126GV
U6;LM4862M;SOIC-8/150mil;1456.9;1121.7;Top;270;
U8;Pololu DC/DC Converter;Pololu DC DC Converter;400;1800;Top;0;
