"RefDes";"Name";"Pattern";"Value";"Number of Pins";"Quantity"
"5vREG";"Pololu D24V10Fx DC/DC Converter HORZ";"Pololu DC DC 1amp (hor)";"";"5";"1"
"C4";"CAP_0805";"CAP_0805";"10uf";"2";"1"
"C5";"CAP_0805";"CAP_0805";"10u";"2";"1"
"C8";"CAP_0805";"CAP_0805";"0.1uf";"2";"1"
"CN1S";"1x7 Connector";"HDR-1x7";"";"7";"1"
"CN2S";"1x4 Connector";"HDR-1x4";"";"4";"1"
"CN3S";"1x8 Connector";"HDR-1x8";"";"8";"1"
"CN4S";"1x5 Connector";"HDR-1x5";"";"5";"1"
"D5";"DIODE_1206";"SOD-123";"";"2";"1"
"IOREF";"M03PTH";"HDR-1x3";"";"3";"1"
"J1";"292303-1";"292303-1";"";"5";"1"
"J2";"PPTC061LFBN-RC";"HDRF-1x6T/2.54/16x3";"";"6";"1"
"J3, J4";"PPTC081LFBN-RC";"HDRF-1x8T/2.54/21x3";"";"8";"2"
"J5";"PPTC101LFBN-RC";"HDRF-1x10T/2.54/26x3";"";"10";"1"
"J6";"4840-2211";"4840-2211";"";"3";"1"
"J7";"BH501";"BH501";"";"2";"1"
"J24-29, J36-41";"1x6 Connector";"HDR-1x6";"";"6";"2"
"J30-32, J33-35";"1x3 Connector";"HDR-1x3";"";"3";"2"
"J8SEL, J9SEL, JSND";"JUMPER-3SMD";"SJ_3";"";"3";"3"
"JQW, JQW1";"I2C_STANDARDQWIIC";"JST04_1MM_RA";"Qwiic Right Angle";"4";"2"
"JS";"1x1 Connector";"HDR-1x1";"";"1";"1"
"JUSB";"1x2 Connector";"HDR-1x2";"";"2";"1"
"JV5, JV3.3";"2x3 Connector";"HDR-2x3";"";"6";"2"
"JVIN";"2x2 Connector";"HDR-2x2";"";"4";"1"
"LS1";"CST-931AP";"CST-911AP";"";"2";"1"
"LY1, LY2";"LSS Servo";"BIOLOID4";"";"4";"2"
"PWR";"SWITCH-SPDTPTH";"SWITCH-SPDT";"";"3";"1"
"Q1, Q2, Q3, Q4";"MOSFET-NCHANNELBSS138";"SOT23-3";"";"3";"4"
"Q5";"T2222";"SOT-23";"MMBT6428";"3";"1"
"R1";"RES_0805";"RES_0805";"40K";"2";"1"
"R2, R3, R4, R5, R6, R9, R14, R15, R16";"RES_0805";"RES_0805";"10K";"2";"9"
"R7";"RES_0805";"RES_0805";"180";"2";"1"
"SJU-P+, SJU-P-";"JUMPER-2SMD-NO";"SJ_2S-NO";"";"2";"2"
"U1";"TPS055A";"SOIC-8/150mil";"";"8";"1"
"U4";"T4-T346-FRDM-T4PUSB BB+USB+VB";"T4-T346-FRDM-T4PUSB BB+USB+VB";"";"57";"1"
"";"";"";"";"191";"55"
